Region;2000 Forest Area;2000 Land Area;2000 Proportion Calculated;2000 Proportion SDG;Differenz;2010 Forest Area;2010 Land Area;2010 Proportion Calculated;2010 Proportion SDG;Differenz;2020 Forest Area;2020 Land Area;2020 Proportion Calculated;2020 Proportion SDG;Differenz;Nature Forest Area;Nature Land Area;Nature Proportion;Aggregate;Entwicklung Waldfläche effektiv;Entwicklung Waldfläche proportional;Region
Panama;4442.14;7434.00;59.75;59.75;0.00;4327.99;7434;58.22;58.22;0.00;4213.84;7417.70;56.81;56.81;0.00;;;;;-228.30;-2.95;Panama
Papua New Guinea;36277.97;45286.00;80.11;80.11;0.00;36178.89;45286;79.89;79.89;0.00;35855.76;45286.00;79.18;79.18;0.00;;;;;-422.21;-0.93;Papua New Guinea
Paraguay;22991.65;39730.00;57.87;57.87;0.00;19570.21;39730;49.26;49.26;0.00;16102.26;39730.00;40.53;40.53;0.00;;;;;-6889.39;-17.34;Paraguay
Peru;75297.83;128000.00;58.83;58.83;0.00;74049.80;128000;57.85;57.85;0.00;72330.37;128000.00;56.51;56.51;0.00;;;;;-2967.46;-2.32;Peru
Philippines;7309.26;29817.00;24.51;24.51;0.00;6839.72;29817;22.94;22.94;0.00;7188.59;29817.00;24.11;24.11;0.00;;;;;-120.67;-0.40;Philippines
Pitcairn;3.50;4.70;74.47;74.47;0.00;3.50;4.7;74.47;74.47;0.00;3.50;4.70;74.47;74.47;0.00;;;;;0.00;0.00;Pitcairn
Poland;9059.00;30629.00;29.58;29.58;0.00;9329.00;30628;30.46;30.46;0.00;9483.00;30617.00;30.97;30.97;0.00;;;;;424.00;1.40;Poland
Polynesia;391.25;794.80;49.23;49.23;0.00;387.01;794.8;48.69;48.69;0.00;382.00;794.80;48.06;48.06;0.00;;;;yes;-9.25;-1.16;Polynesia
Portugal;3281.00;9150.00;35.86;35.86;0.00;3252.00;9159;35.51;35.51;0.00;3312.00;9160.56;36.15;36.15;0.00;;;;;31.00;0.30;Portugal
Puerto Rico;429.15;887.00;48.38;48.38;0.00;491.45;887;55.41;55.41;0.00;496.33;887.00;55.96;55.96;0.00;;;;;67.18;7.57;Puerto Rico
Qatar;0.00;1161.00;0.00;0.00;0.00;0.00;1161;0.00;0.00;0.00;0.00;1149.00;0.00;0.00;0.00;;;;;0.00;0.00;Qatar
Republic of Korea;6476.00;9646.00;67.14;67.14;0.00;6387.00;9720;65.71;65.71;0.00;6287.00;9752.00;64.47;64.47;0.00;;;;;-189.00;-2.67;Republic of Korea
Republic of Moldova;344.40;3288.00;10.47;10.47;0.00;374.50;3285;11.40;11.40;0.00;386.50;3288.53;11.75;11.75;0.00;;;;;42.10;1.28;Republic of Moldova
Réunion;90.97;250.00;36.39;36.39;0.00;93.99;250;37.60;37.60;0.00;98.44;251.00;39.22;39.22;0.00;;;;;7.47;2.83;Réunion
Romania;6366.00;22971.00;27.71;27.71;0.00;6515.00;23005;28.32;28.32;0.00;6929.05;23008.00;30.12;30.12;0.00;;;;;563.05;2.40;Romania
Russian Federation;809268.50;1638134.00;49.40;49.40;0.00;815135.60;1637687;49.77;49.77;0.00;815311.60;1637687.00;49.78;49.78;0.00;;;;;6043.10;0.38;Russian Federation
Rwanda;287.00;2467.00;11.63;11.63;0.00;265.00;2467;10.74;10.74;0.00;276.00;2467.00;11.19;11.19;0.00;;;;;-11.00;-0.45;Rwanda
Saint Barthélemy;0.17;2.00;8.50;8.50;0.00;0.17;2;8.50;8.50;0.00;0.17;2.00;8.50;8.50;0.00;;;;;0.00;0.00;Saint Barthélemy
Saint Helena;2.00;39.00;5.13;5.13;0.00;2.00;39;5.13;5.13;0.00;2.00;39.00;5.13;5.13;0.00;;;;;0.00;0.00;Saint Helena
